Filename,Atoms_distance_2,Atoms_distance_3,Atoms_distance_4,Atoms_distance_2_a,Atoms_distance_3_a,Atoms_distance_4_a,Atoms_distance_2_b,Atoms_distance_3_b,Atoms_distance_4_b
ligand-100-p-o-26-int1,"[2, 3, 4, 18, 31]","[6, 8, 9, 19, 23, 27, 32, 36, 45]","[7, 10, 14, 20, 21, 22, 24, 25, 26, 28, 29, 30, 33, 34, 35, 37, 38, 43, 46, 47, 52]","[2, 18, 31]","[6, 8, 9, 19, 23, 27, 32, 36]","[7, 10, 14, 20, 21, 22, 24, 25, 26, 28, 29, 30, 33, 34, 35, 37, 38, 43]","[3, 4]",[45],"[46, 47, 52]"
ligand-11-c-n-7-int1,"[3, 8, 10, 29]","[2, 4, 9, 13, 14, 21, 25]","[3, 8, 11, 12, 15, 17, 18, 19, 22, 26, 30]","[3, 29]","[2, 4, 21, 25]","[8, 17, 18, 19, 22, 26, 30]","[8, 10]","[4, 9, 13, 14]","[3, 11, 12, 15, 18, 19]"
ligand-124-c-o-3-int1,"[5, 6, 27]","[2, 3, 7, 25, 29]","[4, 6, 8, 9, 19, 23, 27, 28, 30]","[5, 6]","[2, 3, 7, 25]","[4, 8, 9, 19, 23, 27]",[27],"[25, 29]","[6, 23, 28, 30]"
ligand-126-p-p-25-int1,"[2, 9, 10, 35, 46]","[1, 6, 7, 8, 11, 15, 19, 23, 27, 31, 36, 37, 47, 48]","[9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 38, 39, 40, 41, 46, 49, 50, 51, 52]","[2, 9, 10]","[1, 7, 8, 11, 15, 19, 23, 27, 31]","[12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 46]","[2, 35, 46]","[6, 7, 8, 36, 37, 47, 48]","[9, 10, 38, 39, 40, 41, 49, 50, 51, 52]"
ligand-127-p-p-26-int1,"[2, 9, 10, 35, 52]","[1, 6, 7, 8, 11, 15, 19, 23, 27, 31, 36, 37, 38, 53, 54, 55]","[9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 39, 40, 41, 42, 43, 44, 52, 56, 57, 58, 60, 61]","[2, 9, 10]","[1, 7, 8, 11, 15, 19, 23, 27, 31]","[12, 13, 14, 16, 17, 18, 20, 21, 22, 24, 25, 26, 28, 29, 30, 32, 33, 34, 35, 52]","[2, 35, 52]","[6, 7, 8, 36, 37, 38, 53, 54, 55]","[9, 10, 12, 39, 40, 41, 42, 43, 44, 56, 57, 58, 60, 61]"
ligand-13-p-p-5-int1,"[2, 11, 15, 32, 49, 66]","[7, 8, 9, 12, 13, 16, 17, 18, 33, 34, 35, 50, 51, 52, 67, 68, 69]","[2, 10, 11, 14, 19, 20, 21, 22, 23, 24, 36, 37, 38, 39, 40, 41, 53, 54, 55, 56, 57, 58, 70, 71, 72, 73, 74, 75]","[2, 15, 32]","[7, 8, 9, 16, 17, 18, 33, 34, 35]","[10, 11, 14, 19, 20, 21, 22, 23, 24, 36, 37, 38, 39, 40, 41]","[11, 49, 66]","[9, 12, 13, 50, 51, 52, 67, 68, 69]","[2, 10, 14, 53, 54, 55, 56, 57, 58, 70, 71, 72, 73, 74, 75]"
ligand-14-p-c-1-int1,"[4, 7, 24, 46, 47]","[4, 5, 6, 8, 9, 10, 25, 26, 27, 42, 44, 46, 48]","[1, 5, 6, 11, 12, 13, 14, 15, 16, 28, 29, 30, 31, 32, 33, 41, 43, 44, 45, 49, 50]","[4, 7, 24]","[5, 6, 8, 9, 10, 25, 26, 27, 46]","[11, 12, 13, 14, 15, 16, 28, 29, 30, 31, 32, 33, 41, 44]","[46, 47]","[4, 42, 44, 48]","[1, 5, 6, 43, 45, 49, 50]"
ligand-15-p-c-2-int1,"[5, 8, 25, 47, 48]","[5, 6, 7, 9, 10, 11, 26, 27, 28, 43, 45, 47, 49]","[1, 6, 7, 12, 13, 14, 15, 16, 17, 29, 30, 31, 32, 33, 34, 42, 44, 45, 46, 50, 51, 69, 70]","[5, 8, 25]","[6, 7, 9, 10, 11, 26, 27, 28, 47]","[12, 13, 14, 15, 16, 17, 29, 30, 31, 32, 33, 34, 42, 45]","[47, 48]","[5, 43, 45, 49]","[1, 6, 7, 44, 46, 50, 51, 69, 70]"
ligand-16-p-c-3-int1,"[5, 8, 25, 43, 44]","[5, 6, 7, 9, 10, 11, 26, 27, 28, 43, 45, 65, 66]","[1, 6, 7, 12, 13, 14, 15, 16, 17, 29, 30, 31, 32, 33, 34, 42, 46, 47, 65, 67, 68]","[5, 8, 25]","[6, 7, 9, 10, 11, 26, 27, 28, 43]","[12, 13, 14, 15, 16, 17, 29, 30, 31, 32, 33, 34, 42, 65]","[43, 44]","[5, 45, 65, 66]","[1, 6, 7, 46, 47, 67, 68]"
ligand-18-p-c-5-int1,"[1, 14, 31, 53, 54]","[6, 7, 8, 10, 15, 16, 17, 32, 33, 34, 48, 51, 55]","[8, 9, 10, 11, 12, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40, 50, 52, 56, 57]","[1, 14, 31]","[6, 7, 8, 15, 16, 17, 32, 33, 34]","[9, 10, 13, 18, 19, 20, 21, 22, 23, 35, 36, 37, 38, 39, 40]","[53, 54]","[10, 48, 51, 55]","[8, 11, 12, 50, 52, 56, 57]"
